state_name,state_code,region,district_name,district_code
Andhra Pradesh,AP,Southern,Anantapur,AN
Andhra Pradesh,AP,Southern,Chittoor,CT
Andhra Pradesh,AP,Southern,East Godavari,EG
Andhra Pradesh,AP,Southern,Guntur,GU
Andhra Pradesh,AP,Southern,Krishna,KR
Andhra Pradesh,AP,Southern,Kurnool,KN
Andhra Pradesh,AP,Southern,Nellore,NE
Andhra Pradesh,AP,Southern,Prakasam,PK
Andhra Pradesh,AP,Southern,Srikakulam,SR
Andhra Pradesh,AP,Southern,Visakhapatnam,VZ
Andhra Pradesh,AP,Southern,Vizianagaram,VN
Andhra Pradesh,AP,Southern,West Godavari,WG
Arunachal Pradesh,AR,North-Eastern,Anjaw,AJ
Arunachal Pradesh,AR,North-Eastern,Changlang,CL
Arunachal Pradesh,AR,North-Eastern,Dibang Valley,DV
Arunachal Pradesh,AR,North-Eastern,East Kameng,EK
Arunachal Pradesh,AR,North-Eastern,East Siang,ES
Arunachal Pradesh,AR,North-Eastern,Kamle,KM
Arunachal Pradesh,AR,North-Eastern,Kra Daadi,KD
Arunachal Pradesh,AR,North-Eastern,Kurung Kumey,KK
Arunachal Pradesh,AR,North-Eastern,Lohit,LH
Arunachal Pradesh,AR,North-Eastern,Longding,LD
Arunachal Pradesh,AR,North-Eastern,Lower Dibang Valley,LDV
Arunachal Pradesh,AR,North-Eastern,Lower Siang,LS
Arunachal Pradesh,AR,North-Eastern,Lower Subansiri,LSU
Arunachal Pradesh,AR,North-Eastern,Namsai,NM
Arunachal Pradesh,AR,North-Eastern,Papum Pare,PP
Arunachal Pradesh,AR,North-Eastern,Tawang,TW
Arunachal Pradesh,AR,North-Eastern,Tirap,TR
Arunachal Pradesh,AR,North-Eastern,Upper Dibang Valley,UDV
Arunachal Pradesh,AR,North-Eastern,Upper Siang,US
Arunachal Pradesh,AR,North-Eastern,Upper Subansiri,USU
Arunachal Pradesh,AR,North-Eastern,West Kameng,WK
Arunachal Pradesh,AR,North-Eastern,West Siang,WS
Assam,AS,North-Eastern,Baksa,BK
Assam,AS,North-Eastern,Barpeta,BP
Assam,AS,North-Eastern,Biswanath,BW
Assam,AS,North-Eastern,Bongaigaon,BG
Assam,AS,North-Eastern,Cachar,CC
Assam,AS,North-Eastern,Charaideo,CD
Assam,AS,North-Eastern,Chirang,CH
Assam,AS,North-Eastern,Darrang,DR
Assam,AS,North-Eastern,Dhemaji,DH
Assam,AS,North-Eastern,Dima Hasao,DHS
Assam,AS,North-Eastern,Goalpara,GL
Assam,AS,North-Eastern,Golaghat,GG
Assam,AS,North-Eastern,Hailakandi,HK
Assam,AS,North-Eastern,Hojai,HJ
Assam,AS,North-Eastern,Jorhat,JR
Assam,AS,North-Eastern,Kamrup,KM
Assam,AS,North-Eastern,Kamrup Metropolitan,KMM
Assam,AS,North-Eastern,Karbi Anglong,KA
Assam,AS,North-Eastern,Karimganj,KG
Assam,AS,North-Eastern,Kokrajhar,KK
Assam,AS,North-Eastern,Lakhimpur,LK
Assam,AS,North-Eastern,Majuli,MJ
Assam,AS,North-Eastern,Morigaon,MG
Assam,AS,North-Eastern,Nagaon,NG
Assam,AS,North-Eastern,Nalbari,NB
Assam,AS,North-Eastern,Sivasagar,SV
Assam,AS,North-Eastern,Sonitpur,ST
Assam,AS,North-Eastern,South Salmara-Mankachar,SM
Assam,AS,North-Eastern,Tinsukia,TN
Bihar,BR,Eastern,Araria,AR
Bihar,BR,Eastern,Arwal,AW
Bihar,BR,Eastern,Aurangabad,AU
Bihar,BR,Eastern,Banka,BK
Bihar,BR,Eastern,Begusarai,BG
Bihar,BR,Eastern,Bhagalpur,BH
Bihar,BR,Eastern,Bhojpur,BJ
Bihar,BR,Eastern,Buxar,BX
Bihar,BR,Eastern,Darbhanga,DB
Bihar,BR,Eastern,East Champaran,EC
Bihar,BR,Eastern,Gaya,GY
Bihar,BR,Eastern,Gopalganj,GP
Bihar,BR,Eastern,Jamui,JM
Bihar,BR,Eastern,Jehanabad,JH
Bihar,BR,Eastern,Jitpur Sharif,JS
Bihar,BR,Eastern,Kaimur,KM
Bihar,BR,Eastern,Katihar,KT
Bihar,BR,Eastern,Khagaria,KH
Bihar,BR,Eastern,Kishanganj,KG
Bihar,BR,Eastern,Lakhisarai,LK
Bihar,BR,Eastern,Madhepura,MD
Bihar,BR,Eastern,Madhubani,MH
Bihar,BR,Eastern,Munger,MN
Bihar,BR,Eastern,Muzaffarpur,MZ
Bihar,BR,Eastern,Nalanda,NL
Bihar,BR,Eastern,Nawada,NW
Bihar,BR,Eastern,Pashchim Champaran,WC
Bihar,BR,Eastern,Patna,PT
Bihar,BR,Eastern,Purnia,PN
Bihar,BR,Eastern,Rohtas,RH
Bihar,BR,Eastern,Saharsa,SH
Bihar,BR,Eastern,Samastipur,SM
Bihar,BR,Eastern,Sheikhpura,SK
Bihar,BR,Eastern,Sheohar,SR
Bihar,BR,Eastern,Siwan,SW
Bihar,BR,Eastern,Sitamarhi,ST
Bihar,BR,Eastern,Supaul,SP
Bihar,BR,Eastern,Vaishali,VH
Bihar,BR,Eastern,West Champaran,WE
Chhattisgarh,CG,Central,Balod,BL
Chhattisgarh,CG,Central,Balrampur,BR
Chhattisgarh,CG,Central,Bastar,BS
Chhattisgarh,CG,Central,Bemetara,BM
Chhattisgarh,CG,Central,Bijapur,BJ
Chhattisgarh,CG,Central,Bilaspur,BL
Chhattisgarh,CG,Central,Dantewada,DW
Chhattisgarh,CG,Central,Dhamtari,DH
Chhattisgarh,CG,Central,Durg,DG
Chhattisgarh,CG,Central,Gariaband,GB
Chhattisgarh,CG,Central,Janjgir-Champa,JC
Chhattisgarh,CG,Central,Jashpur,JS
Chhattisgarh,CG,Central,Kabirdham,KB
Chhattisgarh,CG,Central,Kanker,KK
Chhattisgarh,CG,Central,Kondagaon,KN
Chhattisgarh,CG,Central,Korba,KR
Chhattisgarh,CG,Central,Koriya,KY
Chhattisgarh,CG,Central,Mahasamund,MH
Chhattisgarh,CG,Central,Mungeli,MG
Chhattisgarh,CG,Central,Narayanpur,NR
Chhattisgarh,CG,Central,Raigarh,RG
Chhattisgarh,CG,Central,Raipur,RP
Chhattisgarh,CG,Central,Rajnandgaon,RJ
Chhattisgarh,CG,Central,Sukma,SK
